node_type,parent_node,join_type,relation_name,alias,plan_rows,actual_rows,startup_cost,total_cost,plan_width,selectivity,cost_ratio,log_plan_rows,filter,hash_cond,index_cond
Limit,ROOT,None,None,None,23.0,23.0,277.96,278.02,95.0,1.0,1.0002158583968916,1.361728,none,none,none
Sort,Limit,None,None,None,224.0,23.0,277.96,278.52,95.0,1.0,1.0020146783709887,2.350248,none,none,none
Aggregate,Sort,None,None,None,224.0,49.0,263.37,271.77,95.0,1.0,1.031894293199681,2.350248,countrental_id > #,none,none
Nested Loop,Aggregate,Inner,None,None,672.0,804.0,62.69,258.33,91.0,1.0,4.120752911150103,2.827369,none,none,none
Hash Join,Nested Loop,Inner,None,None,192.0,231.0,62.41,152.32,91.0,0.2857142857142857,2.440634513699728,2.283301,none,film_id=film_id,none
Seq Scan,Hash Join,None,inventory,i,4581.0,4581.0,0.0,70.81,6.0,1.0,70.81,3.66096,none,none,none
Hash,Hash Join,None,None,None,42.0,51.0,61.88,61.88,89.0,0.21875,1.0,1.623249,none,none,none
Nested Loop,Hash,Inner,None,None,42.0,51.0,1.49,61.88,89.0,1.0,41.530201342281885,1.623249,none,none,none
Hash Join,Nested Loop,Inner,None,None,62.0,69.0,1.21,20.53,70.0,1.0,16.96694214876033,1.792392,none,category_id=category_id,none
Seq Scan,Hash Join,None,film_category,fc,1000.0,1000.0,0.0,16.0,4.0,1.0,16.0,3.0,none,none,none
Hash,Hash Join,None,None,None,1.0,1.0,1.2,1.2,72.0,0.016129032258064516,1.0,0.0,none,none,none
Seq Scan,Hash,None,category,c,1.0,1.0,0.0,1.2,72.0,1.0,1.2,0.0,name::text ~~ '%family%'::text,none,none
Index Scan,Nested Loop,None,film,f,1.0,1.0,0.28,0.67,19.0,0.023809523809523808,2.392857142857143,0.0,length > #,none,none
Index Scan,Nested Loop,None,rental,r,4.0,3.0,0.29,0.51,8.0,0.005952380952380952,1.7586206896551726,0.60206,none,none,none
Limit,ROOT,None,None,None,93.0,93.0,424.48,427.96,25.0,1.0,1.0081982661138333,1.968483,none,none,none
Aggregate,Limit,None,None,None,200.0,93.0,424.48,431.97,25.0,1.0,1.0176451187335092,2.30103,countpayment_id > #,none,none
Hash Join,Aggregate,Inner,None,None,14595.0,14596.0,22.48,351.51,21.0,1.0,15.636565836298931,4.164204,none,customer_id=customer_id,none
Seq Scan,Hash Join,None,payment,p,14595.0,14596.0,0.0,290.45,6.0,1.0,290.45,4.164204,payment_date > '#-#-# #:#:#'::timestamp without time zone,none,none
Hash,Hash Join,None,None,None,599.0,599.0,14.99,14.99,17.0,0.041041452552243916,1.0,2.777427,none,none,none
Seq Scan,Hash,None,customer,c,599.0,599.0,0.0,14.99,17.0,1.0,14.99,2.777427,none,none,none
Limit,ROOT,None,None,None,22.0,4.0,217.02,217.08,95.0,1.0,1.0002764722145425,1.342423,none,none,none
Sort,Limit,None,None,None,115.0,4.0,217.02,217.31,95.0,1.0,1.0013362823702885,2.060698,none,none,none
Aggregate,Sort,None,None,None,115.0,4.0,209.58,213.88,95.0,1.0,1.0205172249260426,2.060698,countrental_id > #,none,none
Nested Loop,Aggregate,Inner,None,None,354.0,320.0,62.44,206.93,91.0,1.0,3.3140614990390778,2.549003,none,none,none
Hash Join,Nested Loop,Inner,None,None,101.0,93.0,62.16,151.16,91.0,0.2853107344632768,2.431788931788932,2.004321,none,film_id=film_id,none
Seq Scan,Hash Join,None,inventory,i,4581.0,4581.0,0.0,70.81,6.0,1.0,70.81,3.66096,none,none,none
Hash,Hash Join,None,None,None,22.0,19.0,61.88,61.88,89.0,0.21782178217821782,1.0,1.342423,none,none,none
Nested Loop,Hash,Inner,None,None,22.0,19.0,1.49,61.88,89.0,1.0,41.530201342281885,1.342423,none,none,none
Hash Join,Nested Loop,Inner,None,None,62.0,64.0,1.21,20.53,70.0,1.0,16.96694214876033,1.792392,none,category_id=category_id,none
Seq Scan,Hash Join,None,film_category,fc,1000.0,1000.0,0.0,16.0,4.0,1.0,16.0,3.0,none,none,none
Hash,Hash Join,None,None,None,1.0,1.0,1.2,1.2,72.0,0.016129032258064516,1.0,0.0,none,none,none
Seq Scan,Hash,None,category,c,1.0,1.0,0.0,1.2,72.0,1.0,1.2,0.0,name::text ~~ '%action%'::text,none,none
Index Scan,Nested Loop,None,film,f,1.0,0.0,0.28,0.67,19.0,0.045454545454545456,2.392857142857143,0.0,length > #,none,none
Index Scan,Nested Loop,None,rental,r,4.0,3.0,0.29,0.51,8.0,0.011299435028248588,1.7586206896551726,0.60206,none,none,none
Limit,ROOT,None,None,None,14.0,0.0,222.27,222.3,25.0,1.0,1.000134970981239,1.146128,none,none,none
Sort,Limit,None,None,None,67.0,0.0,222.27,222.43,25.0,1.0,1.0007198452332748,1.826075,none,none,none
Aggregate,Sort,None,None,None,67.0,0.0,218.15,220.65,25.0,1.0,1.0114600045840019,1.826075,countfilm_id > #,none,none
